TransactionDate,StoreNumber,StoreName,SalesUnits
2018-09-03,1001,Store 1,14428
2018-09-03,1002,Store 2 Express,3107
2018-09-03,1003,Store 3,54947
2018-09-03,1004,Store 4,2825
2018-09-03,1005,Store 5,19184
2018-09-03,1006,Store 6,19054
2018-09-03,1007,Store 7,28283
2018-09-03,1008,Store 8,55178
2018-09-03,1009,Store 9,44384
2018-09-03,1010,Store 10,17467
2018-09-03,1011,Store 11,1494
2018-09-03,1013,Store 13,80384
2018-09-04,1001,Store 1,15870
2018-09-04,1002,Store 2 Express,3418
2018-09-04,1003,Store 3,60442
2018-09-04,1004,Store 4,3107
2018-09-04,1005,Store 5,21103
2018-09-04,1006,Store 6,20959
2018-09-04,1007,Store 7,31111
2018-09-04,1008,Store 8,60696
2018-09-04,1009,Store 9,48823
2018-09-04,1010,Store 10,19214
2018-09-04,1011,Store 11,1644
2018-09-04,1013,Store 13,88423
2018-09-05,1001,Store 1,17458
2018-09-05,1002,Store 2 Express,3760
2018-09-05,1003,Store 3,66486
2018-09-05,1004,Store 4,3418
2018-09-05,1005,Store 5,23213
2018-09-05,1006,Store 6,23054
2018-09-05,1007,Store 7,34222
2018-09-05,1008,Store 8,66766
2018-09-05,1009,Store 9,53705
2018-09-05,1010,Store 10,21136
2018-09-05,1011,Store 11,1807
2018-09-05,1013,Store 13,97265
2018-09-06,1001,Store 1,16584
2018-09-06,1002,Store 2 Express,3571
2018-09-06,1003,Store 3,63161
2018-09-06,1004,Store 4,3247
2018-09-06,1005,Store 5,22052
2018-09-06,1006,Store 6,21902
2018-09-06,1007,Store 7,32512
2018-09-06,1008,Store 8,63427
2018-09-06,1009,Store 9,51020
2018-09-06,1010,Store 10,20078
2018-09-06,1011,Store 11,1717
2018-09-06,1013,Store 13,92402
2018-09-07,1001,Store 1,15755
2018-09-07,1002,Store 2 Express,3392
2018-09-07,1003,Store 3,60004
2018-09-07,1004,Store 4,3085
2018-09-07,1005,Store 5,20950
2018-09-07,1006,Store 6,20807
2018-09-07,1007,Store 7,30886
2018-09-07,1008,Store 8,60256
2018-09-07,1009,Store 9,48469
2018-09-07,1010,Store 10,19075
2018-09-07,1011,Store 11,1632
2018-09-07,1013,Store 13,87781
2018-09-08,1001,Store 1,16543
2018-09-08,1002,Store 2 Express,3563
2018-09-08,1003,Store 3,63004
2018-09-08,1004,Store 4,3239
2018-09-08,1005,Store 5,21997
2018-09-08,1006,Store 6,21847
2018-09-08,1007,Store 7,32430
2018-09-08,1008,Store 8,63269
2018-09-08,1009,Store 9,50892
2018-09-08,1010,Store 10,20028
2018-09-08,1011,Store 11,1714
2018-09-08,1013,Store 13,92171
2018-09-09,1001,Store 1,13235
2018-09-09,1002,Store 2 Express,2850
2018-09-09,1003,Store 3,50402
2018-09-09,1004,Store 4,2591
2018-09-09,1005,Store 5,17598
2018-09-09,1006,Store 6,17478
2018-09-09,1007,Store 7,25944
2018-09-09,1008,Store 8,50615
2018-09-09,1009,Store 9,40714
2018-09-09,1010,Store 10,16022
2018-09-09,1011,Store 11,1370
2018-09-09,1013,Store 13,73736
